paper,time_bin,-1,0,1,2,3,4,5,6,7,8,9
Daily Mail,2020-01-01,0.16176470588235295,0.014705882352941176,0.1323529411764706,0.04411764705882353,0.22058823529411764,0.16176470588235295,0.029411764705882353,0.11764705882352941,0.10294117647058823,0.0,0.014705882352941176
Daily Mail,2020-04-01,0.0787037037037037,0.12037037037037036,0.1527777777777778,0.4212962962962963,0.0,0.037037037037037035,0.0,0.14351851851851852,0.032407407407407406,0.009259259259259259,0.004629629629629629
Daily Mail,2020-07-01,0.09090909090909091,0.05194805194805195,0.15584415584415584,0.5,0.045454545454545456,0.006493506493506494,0.05194805194805195,0.09090909090909091,0.0,0.006493506493506494,0.0
Daily Mail,2020-10-01,0.07526881720430108,0.08602150537634409,0.21505376344086022,0.20430107526881722,0.0,0.21505376344086022,0.053763440860215055,0.0967741935483871,0.010752688172043012,0.0,0.043010752688172046
Daily Mail,2021-01-01,0.03821656050955414,0.6178343949044586,0.10509554140127389,0.07961783439490445,0.0,0.03184713375796178,0.028662420382165606,0.006369426751592357,0.0031847133757961785,0.054140127388535034,0.03503184713375796
Daily Mail,2021-04-01,0.046875,0.3671875,0.109375,0.1953125,0.140625,0.03125,0.0234375,0.0546875,0.0078125,0.0234375,0.0
Daily Mail,2021-07-01,0.043478260869565216,0.4057971014492754,0.3695652173913043,0.057971014492753624,0.007246376811594203,0.028985507246376812,0.021739130434782608,0.0,0.028985507246376812,0.036231884057971016,0.0
Daily Mail,2021-10-01,0.06956521739130435,0.4,0.2,0.08695652173913043,0.0,0.06956521739130435,0.043478260869565216,0.02608695652173913,0.0,0.10434782608695652,0.0
Daily Mail,2022-01-01,0.011235955056179775,0.42696629213483145,0.30337078651685395,0.0449438202247191,0.0,0.0449438202247191,0.14606741573033707,0.0,0.02247191011235955,0.0,0.0
Daily Mail,2022-04-01,0.16363636363636364,0.6,0.14545454545454545,0.05454545454545454,0.01818181818181818,0.0,0.01818181818181818,0.0,0.0,0.0,0.0
Daily Mail,2022-07-01,0.058823529411764705,0.47058823529411764,0.16176470588235295,0.07352941176470588,0.10294117647058823,0.029411764705882353,0.04411764705882353,0.0,0.029411764705882353,0.0,0.029411764705882353
Daily Mail,2022-10-01,0.043478260869565216,0.391304347826087,0.057971014492753624,0.014492753623188406,0.13043478260869565,0.028985507246376812,0.08695652173913043,0.18840579710144928,0.014492753623188406,0.043478260869565216,0.0
Daily Mail,2023-01-01,0.047619047619047616,0.25396825396825395,0.20634920634920634,0.12698412698412698,0.0,0.23809523809523808,0.031746031746031744,0.0,0.015873015873015872,0.06349206349206349,0.015873015873015872
Daily Mail,2023-04-01,0.09433962264150944,0.37735849056603776,0.1509433962264151,0.07547169811320754,0.018867924528301886,0.22641509433962265,0.018867924528301886,0.0,0.018867924528301886,0.0,0.018867924528301886
Daily Mail,2023-07-01,0.08333333333333333,0.3611111111111111,0.19444444444444445,0.027777777777777776,0.05555555555555555,0.2222222222222222,0.0,0.027777777777777776,0.0,0.027777777777777776,0.0
Daily Mail,2023-10-01,0.03773584905660377,0.20754716981132076,0.41509433962264153,0.0,0.3018867924528302,0.0,0.0,0.018867924528301886,0.018867924528301886,0.0,0.0
Daily Mail,2024-01-01,0.05263157894736842,0.3684210526315789,0.23684210526315788,0.02631578947368421,0.07894736842105263,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.0,0.02631578947368421
Daily Mail,2024-04-01,0.05,0.1,0.26666666666666666,0.05,0.4,0.05,0.016666666666666666,0.016666666666666666,0.03333333333333333,0.016666666666666666,0.0
Daily Mail,2024-07-01,0.01904761904761905,0.0761904761904762,0.7238095238095238,0.05714285714285714,0.0380952380952381,0.05714285714285714,0.009523809523809525,0.0,0.0,0.009523809523809525,0.009523809523809525
Daily Mail,2024-10-01,0.02702702702702703,0.21621621621621623,0.13513513513513514,0.0,0.16216216216216217,0.02702702702702703,0.24324324324324326,0.16216216216216217,0.02702702702702703,0.0,0.0
Evening Standard,2020-01-01,0.0,0.0,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0
Evening Standard,2020-04-01,0.07692307692307693,0.07692307692307693,0.358974358974359,0.4358974358974359,0.0,0.02564102564102564,0.02564102564102564,0.0,0.0,0.0,0.0
Evening Standard,2020-07-01,0.0,0.0,0.6666666666666666,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667
Evening Standard,2020-10-01,0.09090909090909091,0.09090909090909091,0.5454545454545454,0.09090909090909091,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091
Evening Standard,2021-01-01,0.11764705882352941,0.47058823529411764,0.23529411764705882,0.058823529411764705,0.0,0.029411764705882353,0.029411764705882353,0.0,0.0,0.058823529411764705,0.0
Evening Standard,2021-04-01,0.0,0.0,0.9230769230769231,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0
Evening Standard,2021-07-01,0.0,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Evening Standard,2021-10-01,0.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0
Evening Standard,2022-01-01,0.4375,0.0625,0.3125,0.0,0.0625,0.0625,0.0625,0.0,0.0,0.0,0.0
Evening Standard,2022-04-01,0.125,0.625,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Evening Standard,2022-07-01,0.0,0.25,0.625,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
Evening Standard,2022-10-01,0.16666666666666666,0.3333333333333333,0.25,0.0,0.0,0.08333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0
Evening Standard,2023-01-01,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.0,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.0,0.0
Evening Standard,2023-04-01,0.2,0.06666666666666667,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Evening Standard,2023-07-01,0.0,0.4444444444444444,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Evening Standard,2023-10-01,0.0,0.11764705882352941,0.8235294117647058,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0
Evening Standard,2024-01-01,0.0,0.375,0.375,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.125
Evening Standard,2024-04-01,0.0,0.1111111111111111,0.3333333333333333,0.0,0.4444444444444444,0.0,0.1111111111111111,0.0,0.0,0.0,0.0
Evening Standard,2024-07-01,0.016666666666666666,0.0,0.95,0.0,0.016666666666666666,0.016666666666666666,0.0,0.0,0.0,0.0,0.0
Evening Standard,2024-10-01,0.0625,0.25,0.5625,0.0,0.0,0.0,0.0625,0.0625,0.0,0.0,0.0
The Guardian,2020-01-01,0.2857142857142857,0.0,0.09523809523809523,0.0,0.14285714285714285,0.047619047619047616,0.09523809523809523,0.09523809523809523,0.19047619047619047,0.0,0.047619047619047616
The Guardian,2020-04-01,0.0,0.046511627906976744,0.09302325581395349,0.627906976744186,0.0,0.0,0.023255813953488372,0.11627906976744186,0.09302325581395349,0.0,0.0
The Guardian,2020-07-01,0.0,0.05,0.075,0.35,0.0,0.0,0.475,0.0,0.05,0.0,0.0
The Guardian,2020-10-01,0.041666666666666664,0.041666666666666664,0.16666666666666666,0.125,0.0,0.08333333333333333,0.25,0.0,0.20833333333333334,0.0,0.08333333333333333
The Guardian,2021-01-01,0.02857142857142857,0.6142857142857143,0.07142857142857142,0.04285714285714286,0.02857142857142857,0.014285714285714285,0.05714285714285714,0.0,0.014285714285714285,0.02857142857142857,0.1
The Guardian,2021-04-01,0.027777777777777776,0.19444444444444445,0.08333333333333333,0.16666666666666666,0.19444444444444445,0.05555555555555555,0.05555555555555555,0.027777777777777776,0.19444444444444445,0.0,0.0
The Guardian,2021-07-01,0.058823529411764705,0.17647058823529413,0.29411764705882354,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.0,0.058823529411764705
The Guardian,2021-10-01,0.045454545454545456,0.2727272727272727,0.22727272727272727,0.13636363636363635,0.0,0.18181818181818182,0.13636363636363635,0.0,0.0,0.0,0.0
The Guardian,2022-01-01,0.041666666666666664,0.5833333333333334,0.20833333333333334,0.041666666666666664,0.0,0.0,0.125,0.0,0.0,0.0,0.0
The Guardian,2022-04-01,0.10714285714285714,0.39285714285714285,0.10714285714285714,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.07142857142857142,0.0,0.07142857142857142
The Guardian,2022-07-01,0.1111111111111111,0.3888888888888889,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.05555555555555555
The Guardian,2022-10-01,0.0,0.28,0.04,0.0,0.2,0.08,0.0,0.24,0.16,0.0,0.0
The Guardian,2023-01-01,0.12121212121212122,0.2727272727272727,0.15151515151515152,0.06060606060606061,0.030303030303030304,0.12121212121212122,0.0,0.0,0.15151515151515152,0.06060606060606061,0.030303030303030304
The Guardian,2023-04-01,0.14285714285714285,0.19047619047619047,0.23809523809523808,0.14285714285714285,0.0,0.14285714285714285,0.0,0.047619047619047616,0.09523809523809523,0.0,0.0
The Guardian,2023-07-01,0.041666666666666664,0.4166666666666667,0.08333333333333333,0.041666666666666664,0.16666666666666666,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333
The Guardian,2023-10-01,0.19047619047619047,0.23809523809523808,0.09523809523809523,0.14285714285714285,0.14285714285714285,0.0,0.09523809523809523,0.0,0.047619047619047616,0.0,0.047619047619047616
The Guardian,2024-01-01,0.05555555555555555,0.05555555555555555,0.2222222222222222,0.05555555555555555,0.0,0.3888888888888889,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0
The Guardian,2024-04-01,0.037037037037037035,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.4074074074074074,0.037037037037037035,0.14814814814814814,0.0,0.037037037037037035,0.0,0.0
The Guardian,2024-07-01,0.045454545454545456,0.18181818181818182,0.45454545454545453,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.0,0.0,0.0,0.0,0.18181818181818182
The Guardian,2024-10-01,0.0,0.23076923076923078,0.23076923076923078,0.0,0.0,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693
